mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_activation,param_architecture,param_batch_size,param_epochs,param_lambda_value,param_learning_rate,param_momentum,param_optimizer,param_patience,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
1.4912505149841309,0.26208232704178236,0.5110949516296387,0.503758733928189,relu,"(8, 8, 8)",8,200,0.01,0.5,0.6,sgd,6,"{'activation': 'relu', 'architecture': (8, 8, 8), 'batch_size': 8, 'epochs': 200, 'lambda_value': 0.01, 'learning_rate': 0.5, 'momentum': 0.6, 'optimizer': 'sgd', 'patience': 6}",0.72,0.48,0.5416666666666666,0.9583333333333334,0.5833333333333334,0.6566666666666667,0.17019270124055133,27
1.3107466220855712,0.3536295076787511,0.49683055877685545,0.4419903764204065,relu,"(8, 8, 8)",8,200,0.01,0.5,0.8,sgd,6,"{'activation': 'relu', 'architecture': (8, 8, 8), 'batch_size': 8, 'epochs': 200, 'lambda_value': 0.01, 'learning_rate': 0.5, 'momentum': 0.8, 'optimizer': 'sgd', 'patience': 6}",0.52,0.48,0.5,0.9583333333333334,0.5,0.5916666666666667,0.1837691788932821,31
1.5960851192474366,0.41360027999084925,0.5583035945892334,0.12691283792378844,relu,"(8, 8, 8)",8,200,0.01,0.5,0.9,sgd,6,"{'activation': 'relu', 'architecture': (8, 8, 8), 'batch_size': 8, 'epochs': 200, 'lambda_value': 0.01, 'learning_rate': 0.5, 'momentum': 0.9, 'optimizer': 'sgd', 'patience': 6}",0.48,0.52,0.5,0.5,0.5,0.5,0.012649110640673528,35
3.210156202316284,0.6792292198043692,0.4575028896331787,0.5697413666011699,relu,"(8, 8, 8, 8)",8,200,0.01,0.1,0.6,sgd,6,"{'activation': 'relu', 'architecture': (8, 8, 8, 8), 'batch_size': 8, 'epochs': 200, 'lambda_value': 0.01, 'learning_rate': 0.1, 'momentum': 0.6, 'optimizer': 'sgd', 'patience': 6}",0.92,0.8,0.875,0.9166666666666666,0.9166666666666666,0.8856666666666667,0.04594199241072012,15
2.1360432147979735,0.3604490473146368,0.7437746047973632,0.4644312889562644,relu,"(8, 8, 8, 8)",8,200,0.01,0.1,0.8,sgd,6,"{'activation': 'relu', 'architecture': (8, 8, 8, 8), 'batch_size': 8, 'epochs': 200, 'lambda_value': 0.01, 'learning_rate': 0.1, 'momentum': 0.8, 'optimizer': 'sgd', 'patience': 6}",0.52,0.48,0.5,0.9583333333333334,0.9166666666666666,0.675,0.21510720841271477,24
1.9595107555389404,0.33609176147498177,0.3635603904724121,0.32896808100482366,relu,"(8, 8, 8, 8)",8,200,0.01,0.1,0.9,sgd,6,"{'activation': 'relu', 'architecture': (8, 8, 8, 8), 'batch_size': 8, 'epochs': 200, 'lambda_value': 0.01, 'learning_rate': 0.1, 'momentum': 0.9, 'optimizer': 'sgd', 'patience': 6}",0.92,0.8,0.875,0.5,0.5,0.7190000000000001,0.18287700784953806,23
2.143184518814087,0.18196351724081766,0.35882744789123533,0.4407105114690089,relu,"(8, 8, 8, 8)",8,200,0.01,0.3,0.6,sgd,6,"{'activation': 'relu', 'architecture': (8, 8, 8, 8), 'batch_size': 8, 'epochs': 200, 'lambda_value': 0.01, 'learning_rate': 0.3, 'momentum': 0.6, 'optimizer': 'sgd', 'patience': 6}",0.52,0.52,0.875,0.9583333333333334,0.5,0.6746666666666667,0.19947542315895572,25
1.4894189357757568,0.16257841116820176,0.3890800476074219,0.22655975260588296,relu,"(8, 8, 8, 8)",8,200,0.01,0.3,0.8,sgd,6,"{'activation': 'relu', 'architecture': (8, 8, 8, 8), 'batch_size': 8, 'epochs': 200, 'lambda_value': 0.01, 'learning_rate': 0.3, 'momentum': 0.8, 'optimizer': 'sgd', 'patience': 6}",0.52,0.52,0.5833333333333334,0.5,0.9166666666666666,0.608,0.15686653916980225,29
1.5764596462249756,0.2786937970606963,0.24244327545166017,0.15337091154857932,relu,"(8, 8, 8, 8)",8,200,0.01,0.3,0.9,sgd,6,"{'activation': 'relu', 'architecture': (8, 8, 8, 8), 'batch_size': 8, 'epochs': 200, 'lambda_value': 0.01, 'learning_rate': 0.3, 'momentum': 0.9, 'optimizer': 'sgd', 'patience': 6}",0.52,0.52,0.5,0.5,0.5,0.508,0.009797958971132722,33
2.0514041900634767,0.2889180238456353,0.48726668357849123,0.4301441068010572,relu,"(8, 8, 8, 8)",8,200,0.01,0.5,0.6,sgd,6,"{'activation': 'relu', 'architecture': (8, 8, 8, 8), 'batch_size': 8, 'epochs': 200, 'lambda_value': 0.01, 'learning_rate': 0.5, 'momentum': 0.6, 'optimizer': 'sgd', 'patience': 6}",0.52,1.0,0.5,0.5,0.5,0.604,0.19815145722401337,30
1.7033163070678712,0.2801956544812388,0.3778040409088135,0.23962225114633762,relu,"(8, 8, 8, 8)",8,200,0.01,0.5,0.8,sgd,6,"{'activation': 'relu', 'architecture': (8, 8, 8, 8), 'batch_size': 8, 'epochs': 200, 'lambda_value': 0.01, 'learning_rate': 0.5, 'momentum': 0.8, 'optimizer': 'sgd', 'patience': 6}",0.52,0.48,0.5,0.5,0.5,0.5,0.012649110640673528,35
1.4166590213775634,0.2709481655063068,0.38063321113586424,0.16891061278010394,relu,"(8, 8, 8, 8)",8,200,0.01,0.5,0.9,sgd,6,"{'activation': 'relu', 'architecture': (8, 8, 8, 8), 'batch_size': 8, 'epochs': 200, 'lambda_value': 0.01, 'learning_rate': 0.5, 'momentum': 0.9, 'optimizer': 'sgd', 'patience': 6}",0.52,0.52,0.5,0.5,0.5,0.508,0.009797958971132722,33
