number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dropout_input_rate,params_dropout_rate_l0,params_dropout_rate_l1,params_dropout_rate_l2,params_dropout_rate_l3,params_dropout_rate_l4,params_epochs,params_learning_rate,params_momentum,params_num_layers,params_num_units_l0,params_num_units_l1,params_num_units_l2,params_num_units_l3,params_num_units_l4,params_patience,params_use_nesterov,params_weight_decay,state
68,1.9279236118625402,2024-01-25 22:40:04.561104,2024-01-25 22:47:05.413899,0 days 00:07:00.852795,122,0.11156854060189884,0.1445330114098206,0.03751524969992524,0.1944434653327247,,,379,0.005918012977666012,0.8683399605194148,3,512,512.0,512.0,,,7,False,0.00012256461733696456,COMPLETE
40,1.9398835010605986,2024-01-25 22:15:07.373324,2024-01-25 22:21:38.833036,0 days 00:06:31.459712,96,0.08296283762623008,0.08826660184355219,0.16590023584178837,0.152257205119827,,,330,0.001399124592065809,0.6072944172558301,3,384,352.0,320.0,,,5,False,2.7375998070637687e-05,COMPLETE
392,1.9512328128182532,2024-01-26 04:09:51.354543,2024-01-26 04:27:45.133173,0 days 00:17:53.778630,16,0.04111175090226153,0.0004429718484037365,0.0628831639238272,0.49250206843808975,,,354,0.00443008824626088,0.12472298677047766,3,288,224.0,192.0,,,8,True,0.0036965002605686952,COMPLETE
135,1.971125236281178,2024-01-25 23:35:50.100634,2024-01-25 23:44:54.318736,0 days 00:09:04.218102,27,0.026513811510472704,0.08473661833709013,0.07386656657191226,0.3663803215342765,,,254,0.002638807950691461,0.4943008363657539,3,384,352.0,320.0,,,7,False,0.0028478256478043995,COMPLETE
50,1.9774949001684305,2024-01-25 22:22:09.146014,2024-01-25 22:31:13.561756,0 days 00:09:04.415742,107,0.05231067612302629,0.22977825371424684,0.30253130671854545,0.244673049159205,0.4476379574265295,,365,0.003437419960190732,0.6998389646831333,4,480,448.0,448.0,448.0,,6,False,9.80613405905229e-05,COMPLETE
200,1.9882037562660133,2024-01-26 00:28:18.605125,2024-01-26 00:35:41.683198,0 days 00:07:23.078073,20,0.032484787505863054,0.49807761038342097,0.002327576229885375,0.369278315733655,,,187,0.00879719220889286,0.485555472647789,3,384,352.0,192.0,,,7,False,0.0011496863515872955,COMPLETE
41,1.9937731167000272,2024-01-25 22:15:25.552587,2024-01-25 22:21:52.126096,0 days 00:06:26.573509,98,0.08131853093933904,0.06963680024564295,0.17589321332080315,0.12338920427719224,,,332,0.007158677098564016,0.5837117360959666,3,384,320.0,288.0,,,5,False,2.8312823845957904e-05,COMPLETE
111,1.9967114897570475,2024-01-25 23:07:09.073646,2024-01-25 23:14:52.820901,0 days 00:07:43.747255,52,0.2521360339887549,0.21036424686776772,0.13065638662125728,,,,368,0.0013864624720099142,0.8265596165284512,2,448,416.0,,,,7,False,0.0006675713234411083,COMPLETE
37,2.0000996285567805,2024-01-25 22:11:53.152521,2024-01-25 22:18:10.874487,0 days 00:06:17.721966,92,0.0723848857925283,0.2122380935530103,0.251379093791322,0.29737199712404544,,,301,0.009896463467805105,0.6340602364637602,3,384,352.0,352.0,,,5,False,0.000194033345618315,COMPLETE
169,2.000336369634616,2024-01-26 00:03:24.885293,2024-01-26 00:07:19.756572,0 days 00:03:54.871279,42,0.06537428197329431,0.08650772919628702,0.0014532304311080414,0.38501667857262284,,,138,0.009911871137422078,0.4129503334280063,3,416,352.0,288.0,,,7,False,0.0020409032878687715,COMPLETE
52,2.0151890986342464,2024-01-25 22:25:26.971528,2024-01-25 22:33:33.949828,0 days 00:08:06.978300,107,0.1531129621696557,0.11035293664984129,0.29914685530227847,0.23531615747561124,0.4533479598836372,,351,0.0034936525063624115,0.7190015359692445,4,480,480.0,480.0,384.0,,6,False,0.0009162458521418428,COMPLETE
2,2.0172437674347847,2024-01-25 21:52:00.973743,2024-01-25 22:03:31.274947,0 days 00:11:30.301204,28,0.3035418399245869,0.03230246798684561,,,,,352,0.0060262318093882465,0.4296147369779665,1,448,,,,,6,False,1.0370790070918652e-05,COMPLETE
127,2.021939822027643,2024-01-25 23:25:06.657380,2024-01-25 23:29:43.462667,0 days 00:04:36.805287,115,0.2701399358235571,0.15553500506576978,0.032244495017559556,0.04980991973082781,,,378,0.008283487272988763,0.9603825157550262,3,352,320.0,256.0,,,6,False,0.0004952797719491228,COMPLETE
211,2.0605342867497667,2024-01-26 00:40:43.246082,2024-01-26 00:50:20.761698,0 days 00:09:37.515616,16,0.049361620799759795,0.36129221642067055,0.0233292081198915,0.40335503374204384,,,183,0.008237519061563153,0.5860150631093373,3,384,352.0,320.0,,,7,False,0.0014049030316008136,COMPLETE
362,2.0880059258484542,2024-01-26 03:10:38.598226,2024-01-26 03:22:46.883815,0 days 00:12:08.285589,18,0.03959670811647971,0.02378787561534838,0.08123282969929586,0.4504739482314742,,,306,0.004238360568964742,0.9189158243717872,3,160,128.0,32.0,,,9,True,0.002501749103186735,COMPLETE
56,2.1035709432993994,2024-01-25 22:30:57.859329,2024-01-25 22:36:53.153417,0 days 00:05:55.294088,113,0.1334992087929679,0.22250110210952875,0.3528247258194385,0.24161711260508584,,,370,0.0029149455745223554,0.778104378830212,3,352,320.0,160.0,,,6,False,0.0004039303733514945,COMPLETE
13,2.1064683942810425,2024-01-25 21:56:31.276176,2024-01-25 22:02:34.289356,0 days 00:06:03.013180,113,0.04408617565131051,0.1467583725296464,0.029420679102675373,0.037965721508936456,0.04292056571439806,0.214743768062246,363,0.0019385585556321951,0.2656975245708565,5,512,256.0,256.0,256.0,96.0,9,True,5.6999629257284274e-05,COMPLETE
47,2.1069235138593223,2024-01-25 22:19:32.145382,2024-01-25 22:28:43.907113,0 days 00:09:11.761731,100,0.16324587469116736,0.07503589440406966,0.15655380652834666,0.1263724160533971,0.47566168051414215,,337,0.003548782368890088,0.6681904276230823,4,480,480.0,480.0,480.0,,5,False,9.727820481323893e-05,COMPLETE
95,2.11105380407379,2024-01-25 22:57:55.773095,2024-01-25 23:03:14.169340,0 days 00:05:18.396245,54,0.2864506943818574,0.1625932287662793,,,,,347,0.004012814449963753,0.9410921934741452,1,320,,,,,7,False,0.001804580128063485,COMPLETE
51,2.121836622325406,2024-01-25 22:22:26.110158,2024-01-25 22:31:11.322742,0 days 00:08:45.212584,107,0.18329151709662,0.11027334028045664,0.294317409835268,0.25376663583175235,0.4987536525862483,,360,0.0032654810995315794,0.4858489996547928,4,480,480.0,480.0,480.0,,6,False,8.618370257353155e-05,COMPLETE
141,2.1270107112468857,2024-01-25 23:40:10.432049,2024-01-25 23:47:26.249304,0 days 00:07:15.817255,24,0.03534791428190019,0.06507312066644894,0.07122291718480277,0.3587946293594402,,,179,0.006544508549827287,0.45870714489203024,3,384,352.0,320.0,,,7,False,2.1716073079077915e-05,COMPLETE
42,2.1290268971237607,2024-01-25 22:15:39.359205,2024-01-25 22:22:09.115005,0 days 00:06:29.755800,102,0.08232220765009512,0.054474087261694004,0.1669139531074798,0.12105845718288685,,,321,0.007366722226429142,0.6237647918968251,3,384,320.0,288.0,,,5,False,1.6180582977423186e-05,COMPLETE
128,2.143417394248374,2024-01-25 23:26:04.655936,2024-01-25 23:37:17.796875,0 days 00:11:13.140939,29,0.18289293664084852,0.08400572750741883,0.026835832173094414,0.027499386080255376,,,379,0.0021261919062804373,0.979954065496148,3,352,320.0,128.0,,,7,False,0.0002065880115772162,COMPLETE
281,2.155867507759557,2024-01-26 01:44:27.926272,2024-01-26 01:51:51.555226,0 days 00:07:23.628954,19,0.4149481039575803,0.003606327909475484,0.045857643518234896,0.3930484159993907,,,167,0.009883898775352644,0.7853970586264696,3,352,288.0,288.0,,,7,True,0.0066362714997377425,COMPLETE
155,2.1712597810646495,2024-01-25 23:53:01.652092,2024-01-25 23:58:20.432203,0 days 00:05:18.780111,25,0.04922908069044713,0.07436346402207636,0.041497345177778755,0.40673917368558726,,,161,0.00941611246867533,0.5203044389643036,3,160,64.0,32.0,,,7,False,0.0034934903574645863,COMPLETE
26,2.1741464608846037,2024-01-25 22:04:00.315896,2024-01-25 22:11:53.115995,0 days 00:07:52.800099,126,0.015604623141827555,0.11840943551588357,0.0010131070841368564,0.190893339431768,,,400,0.004910868173925036,0.5178218300123152,3,512,416.0,416.0,,,9,False,5.045446725448163e-05,COMPLETE
