number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dropout_input_rate,params_dropout_rate_l0,params_dropout_rate_l1,params_dropout_rate_l2,params_dropout_rate_l3,params_dropout_rate_l4,params_epochs,params_learning_rate,params_momentum,params_num_layers,params_num_units_l0,params_num_units_l1,params_num_units_l2,params_num_units_l3,params_num_units_l4,params_patience,params_use_nesterov,params_weight_decay,state
111,2.5225882294448434,2024-01-28 01:09:41.740542,2024-01-28 01:19:05.731887,0 days 00:09:23.991345,22,0.0722734089556861,0.06010499550359767,,,,,374,0.00020698229997256898,0.9740252241186228,1,192,,,,,5,False,0.00339804609153381,COMPLETE
70,2.5260891405369423,2024-01-28 00:38:02.500665,2024-01-28 00:43:22.244789,0 days 00:05:19.744124,73,0.42441277836791325,0.035058698726586214,0.13016704016366104,,,,400,0.0005385563942021462,0.07624252167732565,2,416,96.0,,,,8,False,2.8559001375443757e-05,COMPLETE
65,2.5554882250767426,2024-01-28 00:34:34.210666,2024-01-28 00:41:14.852670,0 days 00:06:40.642004,50,0.4343172299986791,0.2790581126824987,0.06299119501133614,,,,396,0.0002777063165775205,0.5470004074359875,2,416,256.0,,,,10,False,3.753210845072817e-05,COMPLETE
113,2.562854355140824,2024-01-28 01:10:36.600168,2024-01-28 01:14:17.498502,0 days 00:03:40.898334,88,0.07315447507231232,0.06264058748043289,0.2436559005703045,,,,373,0.0035831885010040704,0.9776606555187788,2,128,64.0,,,,5,False,0.0017966361598485189,COMPLETE
47,2.564733675066506,2024-01-28 00:24:12.258707,2024-01-28 00:26:39.089223,0 days 00:02:26.830516,115,0.05737418951936485,0.21305099221046597,0.21982221765841758,0.3106066229500458,,,179,0.003924295741305073,0.46674275847778834,3,320,192.0,128.0,,,9,False,6.978495401174895e-05,COMPLETE
28,2.56863110669069,2024-01-28 00:12:59.152712,2024-01-28 00:17:26.032904,0 days 00:04:26.880192,105,0.0016691063555180907,0.0731429825285251,,,,,357,0.0022122527300494394,0.13729840108298275,1,352,,,,,6,False,1.2190111913620705e-05,COMPLETE
2,2.591624927177352,2024-01-28 00:01:32.284412,2024-01-28 00:04:37.372098,0 days 00:03:05.087686,40,0.1110268795461336,0.45515499750219635,0.4251648413974696,,,,148,0.00029636770791962886,0.958225398307783,2,384,320.0,,,,7,False,0.008844978135081663,COMPLETE
398,2.598514536036183,2024-01-28 04:26:29.876203,2024-01-28 04:41:57.799313,0 days 00:15:27.923110,34,0.047048383629003286,0.08109379406383806,0.2650924760527464,0.418803669804333,,,333,0.0018758499402045862,0.9646396325924205,3,480,384.0,288.0,,,7,True,0.00019615920556439716,COMPLETE
46,2.60416569787139,2024-01-28 00:23:59.694027,2024-01-28 00:27:59.901507,0 days 00:04:00.207480,116,0.3693238127948681,0.21160182321597198,0.10617566273540126,0.002178250973812468,,,324,0.004026573025774609,0.43527540976847445,3,256,192.0,128.0,,,9,True,0.00017814418492395113,COMPLETE
29,2.60530287086612,2024-01-28 00:14:24.887875,2024-01-28 00:19:19.505838,0 days 00:04:54.617963,107,0.025108743191255167,0.057153842844902075,0.1543543216087208,0.45001872769703505,0.008003763040034584,,361,0.002519850930085325,0.22262891924776942,4,352,192.0,192.0,192.0,,6,False,1.0139463138666685e-05,COMPLETE
123,2.6130390262905605,2024-01-28 01:18:39.006344,2024-01-28 01:23:03.690055,0 days 00:04:24.683711,87,0.09849823087868592,0.07861835184203514,,,,,375,0.006183311017436564,0.9641882554890413,1,96,,,,,5,False,0.00030041151136494355,COMPLETE
100,2.6150587288002924,2024-01-28 01:01:30.426255,2024-01-28 01:08:14.703128,0 days 00:06:44.276873,30,0.023691681822021707,0.01945412273891526,,,,,352,0.0001566883661180193,0.9433928797735959,1,160,,,,,6,False,0.0009231513308544059,COMPLETE
12,2.647385934514605,2024-01-28 00:05:07.234251,2024-01-28 00:12:39.758570,0 days 00:07:32.524319,43,0.18421821361481183,0.39393463772187987,,,,,400,0.0023688395543160564,0.6164747166007857,1,64,,,,,10,True,0.0006927814607989754,COMPLETE
304,2.685477634421337,2024-01-28 02:51:39.429459,2024-01-28 02:55:44.656039,0 days 00:04:05.226580,65,0.024322329114333928,0.18457925146808335,0.3458825308746216,,,,279,0.0014228267148061588,0.9736243798602826,2,128,32.0,,,,5,True,0.0004488595424719982,COMPLETE
9,2.704071625617373,2024-01-28 00:03:25.364083,2024-01-28 00:11:40.432498,0 days 00:08:15.068415,31,0.4178870210289935,0.15825157095796122,0.4459922311421069,,,,312,0.00020477089516174324,0.5212846627236091,2,448,64.0,,,,5,True,5.930585857308063e-05,COMPLETE
157,2.70899985684065,2024-01-28 01:41:39.878196,2024-01-28 01:46:24.928753,0 days 00:04:45.050557,95,0.14225426580743808,0.03696674909439821,0.3074520855377403,,,,399,0.006556332593217485,0.8710471503896675,2,256,224.0,,,,5,False,0.0029419370049357614,COMPLETE
31,2.7132398446167074,2024-01-28 00:15:48.854058,2024-01-28 00:19:47.524523,0 days 00:03:58.670465,108,0.043426748485206446,0.04160368166633999,,,,,348,0.00207617899043754,0.17293039696859663,1,352,,,,,9,False,1.1090957022133291e-05,COMPLETE
130,2.7626476260125576,2024-01-28 01:23:03.705657,2024-01-28 01:28:43.612625,0 days 00:05:39.906968,84,0.19287530278211928,0.1031681221530277,0.411084490144903,,,,388,0.0002586195433436793,0.8380406247464952,2,256,224.0,,,,5,False,0.0024371804698074388,COMPLETE
