mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_rf__max_depth,param_rf__max_features,param_rf__min_samples_leaf,param_rf__min_samples_split,param_rf__n_estimators,params,split0_test_MEE,split1_test_MEE,split2_test_MEE,split3_test_MEE,split4_test_MEE,mean_test_MEE,std_test_MEE,rank_test_MEE,split0_test_R2,split1_test_R2,split2_test_R2,split3_test_R2,split4_test_R2,mean_test_R2,std_test_R2,rank_test_R2,split0_test_RMSE,split1_test_RMSE,split2_test_RMSE,split3_test_RMSE,split4_test_RMSE,mean_test_RMSE,std_test_RMSE,rank_test_RMSE
0.4491358757019043,0.002631310108902169,0.011987638473510743,0.0003165016614319905,6,log2,3,2,150,"{'rf__max_depth': 6, 'rf__max_features': 'log2', 'rf__min_samples_leaf': 3, 'rf__min_samples_split': 2, 'rf__n_estimators': 150}",-4.553055670806041,-4.849370630457689,-5.292027121469898,-5.570132421804496,-5.040885949593195,-5.0610943588262645,0.3509382612101972,229,0.9635069869796861,0.9593794045971222,0.9576721073619917,0.9518593335306798,0.9579551430186095,0.9580745950976179,0.003742169181432721,229,-2.9838156867921066,-3.1790172437250805,-3.4864138629530577,-3.701440124369593,-3.353012984881272,-3.340739980544222,0.24699202233346873,229
0.5984541893005371,0.004601229553204506,0.016372823715209962,0.001696520058107686,6,log2,3,2,200,"{'rf__max_depth': 6, 'rf__max_features': 'log2', 'rf__min_samples_leaf': 3, 'rf__min_samples_split': 2, 'rf__n_estimators': 200}",-4.50876074489412,-4.877402285613989,-5.244027971004814,-5.526578375718274,-5.073965192208611,-5.046146913887961,0.34292967299083865,227,0.964527749360416,0.9583453788612174,0.9582502732640866,0.9529082189149536,0.9579023057562971,0.9583867852313942,0.0036873079525331074,227,-2.946369108889485,-3.199567511466215,-3.452968106274749,-3.6754694803769614,-3.380110909128276,-3.330897023227137,0.2454231821456163,227
0.9025301933288574,0.007311992794375178,0.022519397735595702,0.0008996844594168475,6,log2,3,2,300,"{'rf__max_depth': 6, 'rf__max_features': 'log2', 'rf__min_samples_leaf': 3, 'rf__min_samples_split': 2, 'rf__n_estimators': 300}",-4.516874182379317,-4.8769021904168195,-5.232200598071449,-5.5264966274740575,-5.046704261622248,-5.0398355719927785,0.33879975411320656,225,0.9646049117858867,0.9582015380589892,0.9585866898078309,0.9528962601184515,0.9581644608347211,0.958490772121176,0.003711619700056219,225,-2.9384314538282896,-3.206996135884025,-3.4299531578279847,-3.679093031291774,-3.361041856899393,-3.323103127146293,0.24537245884520742,225
0.3071005344390869,0.005954481085694003,0.008142852783203125,0.00019122172445910828,6,log2,3,8,100,"{'rf__max_depth': 6, 'rf__max_features': 'log2', 'rf__min_samples_leaf': 3, 'rf__min_samples_split': 8, 'rf__n_estimators': 100}",-4.64959371593415,-4.970339143558868,-5.31476085051017,-5.6486397725445485,-5.167001303829126,-5.150066957275373,0.33429365982901144,259,0.9612833852561935,0.9553844067337693,0.9570649455571939,0.9518446867196002,0.9542772612760766,0.9559709371085667,0.003151426908099194,259,-3.041475591961174,-3.2648214371462707,-3.469326394330349,-3.733817234185771,-3.4416084462394188,-3.390209820772596,0.22991525158501788,251
0.4462577342987061,0.004158084710847191,0.012057113647460937,0.0005235263412458736,6,log2,3,8,150,"{'rf__max_depth': 6, 'rf__max_features': 'log2', 'rf__min_samples_leaf': 3, 'rf__min_samples_split': 8, 'rf__n_estimators': 150}",-4.629617554527206,-4.961907153799671,-5.3222718297759535,-5.632432885642426,-5.1348302063274085,-5.136211926014533,0.33700903505708696,245,0.9620000084613926,0.9560123140052831,0.9568210612951046,0.9518676530230962,0.9548623390385308,0.9563126751646814,0.003303214495898248,253,-3.038937154827509,-3.251653808338731,-3.482795266896304,-3.723338678639273,-3.4223978948403238,-3.3838245607084283,0.22933354293734662,245
0.5964008808135987,0.002664124650072443,0.015258121490478515,0.0008303058432218879,6,log2,3,8,200,"{'rf__max_depth': 6, 'rf__max_features': 'log2', 'rf__min_samples_leaf': 3, 'rf__min_samples_split': 8, 'rf__n_estimators': 200}",-4.622499793824683,-4.9708969037786,-5.31084173173208,-5.583705190798966,-5.141469402823792,-5.125882604591624,0.3229455585901126,235,0.9620979564070263,0.9557563322453569,0.9575968383005202,0.9527452530322197,0.9557557684354506,0.9567904296841148,0.0030764742914057707,235,-3.028982237640358,-3.2662897533356228,-3.4673983158778126,-3.7013056568859066,-3.4185029143723797,-3.3764957756224163,0.22290821291568866,239
0.8924332141876221,0.0049110022763027604,0.02321310043334961,0.0010778869988721854,6,log2,3,8,300,"{'rf__max_depth': 6, 'rf__max_features': 'log2', 'rf__min_samples_leaf': 3, 'rf__min_samples_split': 8, 'rf__n_estimators': 300}",-4.6415413289275,-4.946157515197515,-5.301360125976432,-5.583092737578444,-5.122200020688886,-5.118870345673756,0.3182730738957972,233,0.961748500962433,0.955748187349572,0.9576068224223259,0.9526932273172304,0.9557899075444866,0.9567173291192097,0.002969735015517153,239,-3.026644634372203,-3.2573055506333377,-3.459948843626497,-3.7110048894860235,-3.4067039320259855,-3.3723215700288094,0.22640154828788048,237
0.3029679298400879,0.0035850943394526145,0.008209228515625,0.0001797938517430505,6,log2,3,10,100,"{'rf__max_depth': 6, 'rf__max_features': 'log2', 'rf__min_samples_leaf': 3, 'rf__min_samples_split': 10, 'rf__n_estimators': 100}",-4.68373565787113,-5.104431781710689,-5.561600158206429,-5.784494111412492,-5.286748980267686,-5.2842021378936845,0.37950641139240016,285,0.9596286628135884,0.9519238476004932,0.9540042183529448,0.9469900451261765,0.9537436269296937,0.9532580801645792,0.0040606709032577236,285,-3.0792423308083987,-3.335913870772367,-3.6302024720185524,-3.8602552296836397,-3.5042916941910427,-3.4819811194948,0.26423202174919547,285
0.4463603973388672,0.0022384803678112794,0.012018060684204102,0.00037676767175944984,6,log2,3,10,150,"{'rf__max_depth': 6, 'rf__max_features': 'log2', 'rf__min_samples_leaf': 3, 'rf__min_samples_split': 10, 'rf__n_estimators': 150}",-4.687017769701029,-5.029082551602339,-5.509194899922939,-5.741905992279074,-5.207847088055997,-5.235009660312277,0.3675759319081301,265,0.9603574335926054,0.9538415291521117,0.953820142141124,0.9474261746743862,0.9540800281958065,0.9539050615512068,0.0040902552761881966,275,-3.0797946917597367,-3.296965562242169,-3.6029541959843643,-3.8140823757813855,-3.465574723577207,-3.4518743098689724,0.25165352317821693,271
0.5907842636108398,0.003496322542663736,0.014859724044799804,0.0002476414840115166,6,log2,3,10,200,"{'rf__max_depth': 6, 'rf__max_features': 'log2', 'rf__min_samples_leaf': 3, 'rf__min_samples_split': 10, 'rf__n_estimators': 200}",-4.705460514648466,-5.053619071492291,-5.486058286211666,-5.747057682719995,-5.211377933903976,-5.240714697795278,0.3574742380740141,271,0.9601189811071075,0.9536275577552141,0.9544086760784608,0.9478635266760692,0.9543195185843444,0.9540676520402392,0.003885438769051918,273,-3.089879572328832,-3.315469327231098,-3.5811997582009396,-3.8100856572262662,-3.4718777279667945,-3.453702408590787,0.2429281281646482,273
